sexo;tipo_de_emprendimiento;idea_negocio;barrio;estrato;comuna_ciudadano;fecha_de_beneficio;monto_del_credito;línea_credito
masculino;comercio;tiendadehelados;campovaldesno.1;2;4;2016-04-11;6890000;microempresarial
masculino;comercio;tienda;belencito;2;13;2016-03-10;6890000;microempresarial
femenino;servicio;peluqueria;campovaldesno.1;3;4;2018-04-03;7800000;microempresarial
masculino;servicio;organizacióny;florencia;3;5;2018-08-21;6000000;microempresarial
femenino;industria;fabricade;santacruz;2;2;2018-07-09;4500000;microempresarial
masculino;comercio;variedades;robledo;2;7;2017-01-17;7377000;microempresarial
masculino;industria;fabricade;pablovi;2;2;2017-05-16;7000000;microempresarial
femenino;servicio;comidasrapidas;boyaca;3;5;2018-03-06;6000000;microempresarial
masculino;servicio;variedades;robledo;2;7;2016-12-30;4000000;microempresarial
femenino;comercio;tienda;manriquecentralno.2;2;3;2016-05-06;3500000;microempresarial
femenino;industria;fabricade;robledo;2;7;2018-07-10;3800000;microempresarial
masculino;comercio;cafeteria;santacruz;2;2;2018-08-08;7800000;microempresarial
femenino;comercio;variedades;belen;3;16;2017-07-12;7370000;microempresarial
femenino;comercio;variedades;lafrancia;2;2;2018-08-01;6000000;microempresarial
masculino;comercio;legumbreria;pedregal;3;6;2018-03-15;7800000;microempresarial
masculino;comercio;variedades;campovaldesno.1;3;4;2018-03-07;7000000;microempresarial
masculino;comercio;restaurante;boyaca;3;5;2017-05-05;6000000;microempresarial
femenino;comercio;almacenderopaen;robledo;1;7;2017-05-17;6000000;microempresarial
femenino;comercio;variedades;prado;3;10;2016-04-18;6890000;microempresarial
femenino;servicio;servicios;robledo;2;7;2017-07-19;7300000;microempresarial
femenino;comercio;distribuidorade;cabecerasancristobal;2;60;2017-08-17;4000000;microempresarial
femenino;industria;fabricade;picacho;1;6;2016-09-07;4000000;microempresarial
femenino;comercio;fabricade;santacruz;2;2;2018-07-18;7812000;microempresarial
masculino;industria;fabricade;docedeoctubreno.1;1;6;2017-05-31;5000000;microempresarial
femenino;comercio;variedades;picacho;2;6;2018-07-04;5000000;microempresarial
femenino;servicio;mantenimientoen;sanjoaquin;3;11;2018-08-09;7800000;microempresarial
femenino;comercio;variedades;castilla;3;5;2016-09-02;6000000;microempresarial
masculino;servicio;mantenimientoen;laamerica;3;12;2016-05-10;6890000;microempresarial
masculino;industria;fabricade;robledo;2;7;2017-11-15;5000000;microempresarial
femenino;comercio;comidasrapidas;manriqueoriental;2;7;2018-05-30;7800000;microempresarial
femenino;industria;fabricade;manriquecentralno.2;2;3;2018-01-29;7800000;microempresarial
femenino;servicio;cafeeinternet;sanjavierno.1;1;13;2018-10-31;3000000;microempresarial
masculino;comercio;comidasrapidas;enciso;2;8;2019-06-12;8000000;microempresarial
femenino;comercio;tienda;campovaldesno.1;3;4;2016-02-25;300000;microempresarial
femenino;comercio;almacenderopaen;villaniza;2;2;2018-04-12;5000000;microempresarial
masculino;comercio;almacenderopaen;barriocaicedo;1;9;2018-08-14;5500000;microempresarial
femenino;industria;fabricade;lafrancia;2;2;2016-11-01;6890000;microempresarial
masculino;comercio;distribuidorade;elpinal;2;8;2019-04-03;8281000;microempresarial
femenino;industria;fabricade;buenosaires;3;9;2019-03-11;8000000;microempresarial
femenino;industria;fabricade;manriquecentralno.1;2;4;2018-04-24;5000000;microempresarial
masculino;comercio;restaurante;lacolina;3;15;2017-06-20;4000000;microempresarial
femenino;industria;fabricade;santander;3;6;2017-02-08;3500000;microempresarial
masculino;industria;fabricade;campovaldesno.1;2;4;2017-12-06;7300000;microempresarial
femenino;industria;variedades;aranjuez;3;4;2018-10-11;3000000;microempresarial
femenino;servicio;mantenimientoen;buenosaires;1;9;2017-11-16;7000000;microempresarial
masculino;comercio;variedades;robledo;2;7;2018-01-26;5000000;microempresarial
masculino;comercio;comidasrapidas;aranjuez;2;4;2018-05-10;1500000;microempresarial
femenino;industria;fabricaderepuestos;sanbenito;3;10;2018-05-28;5000000;microempresarial
femenino;servicio;peluqueria;aranjuez;3;4;2017-02-14;6000000;microempresarial
femenino;industria;variedades;aranjuez;3;4;2018-05-04;7800000;microempresarial
femenino;comercio;comidasrapidas;robledo;3;7;2018-02-22;5000000;microempresarial
femenino;industria;fabricade;aranjuez;3;4;2018-04-10;3000000;microempresarial
masculino;comercio;fabricadecalzado;manila;3;14;2019-04-22;1500000;microempresarial
femenino;comercio;comidasrapidas;robledo;2;7;2017-12-06;7300000;microempresarial
masculino;industria;carpinteria;santacruz;1;2;2016-08-11;4000000;microempresarial
masculino;comercio;fabricadealimentos;popular;2;1;2018-11-07;7800000;microempresarial
femenino;industria;fabricade;manriquecentralno.1;3;4;2018-05-17;5000000;microempresarial
femenino;industria;fabricade;lopezdemesa;3;7;2017-09-20;5000000;microempresarial
femenino;comercio;variedades;pedregal;3;6;2017-10-25;7377000;microempresarial
femenino;industria;fabricade;popular;2;1;2016-08-31;6000000;microempresarial
femenino;industria;fabricade;robledo;1;7;2019-02-21;7000000;microempresarial
femenino;industria;fabricade;manriquecentralno.2;2;3;2017-08-10;3000000;microempresarial
femenino;comercio;variedades;enciso;2;8;2017-10-26;1000000;microempresarial
masculino;comercio;variedades;campovaldesno.1;3;4;2018-07-16;7800000;microempresarial
femenino;servicio;comidasrapidas;buenosaires;3;9;2016-07-12;6000000;microempresarial
femenino;comercio;comidasrapidas;lapalma;2;16;2018-06-22;7000000;microempresarial
femenino;industria;fabricadehelados;olayaherrera;1;7;2018-06-14;4500000;microempresarial
femenino;agropecuaria;criaderodeanimales;cabecerasanantonio;2;80;2017-10-09;14000000;agropecuaria
femenino;servicio;peluqueria;belen;3;16;2016-11-03;6890000;microempresarial
femenino;industria;fabricade;buenosaires;3;9;2018-05-09;6000000;microempresarial
femenino;industria;fabricade;belen;1;16;2018-07-09;5000000;microempresarial
femenino;comercio;miscelanea;campovaldesno.1;2;4;2019-05-29;6000000;microempresarial
femenino;comercio;cafeteria;pablovi;2;2;2017-09-06;7000000;microempresarial
masculino;industria;carpinteria;sanmartindeporres;2;6;2016-06-15;6890000;microempresarial
femenino;servicio;comidasrapidas;lacruz;1;3;2018-02-16;7000000;microempresarial
femenino;servicio;peluqueria;robledo;3;7;2016-07-15;6890000;microempresarial
femenino;comercio;ventadecalzado;picachito;1;6;2018-05-09;4000000;microempresarial
femenino;comercio;tienda;lapradera;2;13;2017-09-13;4400000;credioportuno
masculino;comercio;variedades;playondelos;1;2;2018-02-09;7000000;microempresarial
masculino;comercio;billares;cabecerasancristobal;2;60;2016-09-22;6890000;microempresarial
femenino;comercio;fabricadealimentos;villadelsocorro;2;2;2018-09-14;4000000;microempresarial
masculino;comercio;licorera;robledo;2;7;2017-03-29;7377000;microempresarial
femenino;comercio;cafeteria;cabecerasanantonio;3;80;2019-01-31;7000000;microempresarial
femenino;servicio;comidasrapidas;docedeoctubreno.1;2;6;2018-02-09;6000000;microempresarial
femenino;comercio;variedades;sanjavierno.1;1;13;2016-11-19;6800000;microempresarial
masculino;servicio;fabricade;robledo;2;7;2016-08-09;6890000;microempresarial
femenino;servicio;peluqueria;cabecerasancristobal;2;60;2017-08-18;4000000;microempresarial
femenino;servicio;peluqueria;aranjuez;2;4;2018-07-25;3500000;microempresarial
femenino;comercio;tienda;lalibertad;2;8;2016-06-27;4000000;microempresarial
